品质,工作要求,工作要求
"[16, 0, 21]","[42, 29, 39]",[63]
"[26, 3, 21]",[],[]
[21],[40],[63]
[21],[40],[63]
"[16, 3, 20, 21]",[31],[]
[21],[39],[63]
[21],"[29, 39]",[63]
"[16, 11, 13]","[42, 29, 30, 31]",[]
"[16, 21]","[32, 38, 39]",[63]
[21],"[40, 29, 30, 31]","[90, 67, 63]"
"[16, 3]",[],[63]
[26],"[32, 39, 40, 42, 30]",[63]
"[16, 20]",[],[82]
"[2, 21]","[29, 31]",[63]
[21],"[28, 29]","[65, 63]"
[23],[39],"[67, 63]"
"[0, 4, 22]","[32, 28, 31]","[90, 67]"
"[13, 3, 21]","[32, 29, 30]",[63]
"[3, 4, 21]","[40, 29, 30]",[63]
"[26, 3, 21]",[29],[]
"[0, 3, 21]","[29, 39]",[63]
[],[],[63]
[1],[29],[90]
[8],[],[]
"[16, 3, 4, 21]","[40, 32, 29, 31]",[]
[21],[40],[63]
"[16, 26, 3, 13]",[],"[90, 63]"
[0],"[40, 28, 29]",[90]
[20],"[42, 29, 31]",[65]
"[3, 4, 13]","[32, 28, 29, 30, 31]",[64]
"[11, 20, 21]",[28],"[90, 63]"
"[3, 21]",[31],"[90, 67]"
[3],"[28, 29]","[64, 67]"
[10],"[32, 33, 40, 42, 29, 31]",[63]
"[16, 0, 18, 4]",[29],[]
"[13, 21]","[42, 29]",[]
"[0, 4, 8, 11, 21, 23]","[29, 30]","[77, 63]"
[0],[],[]
"[0, 4, 10, 13, 16, 21, 22]","[28, 29, 31]",[]
[21],"[38, 28, 29, 30]","[85, 63]"
"[10, 4]","[28, 29]","[64, 63]"
[21],[29],[63]
"[26, 3, 21]",[],[]
[],"[32, 28, 29]",[63]
[0],"[28, 30, 39]",[63]
"[8, 12, 21, 14]","[28, 29]",[64]
[21],"[29, 28, 31, 39]",[63]
"[20, 4, 21]","[30, 39]",[]
[10],"[32, 33, 39]",[]
[21],"[32, 29, 30]",[]
"[16, 21]","[40, 28, 29, 30]",[]
[21],[28],[63]
"[3, 21]",[40],[]
"[16, 21, 23]","[32, 38, 39, 42, 29, 31]","[65, 63]"
"[0, 3, 21, 6]",[30],"[90, 63]"
[],[],[]
"[3, 13, 16, 21, 23]",[],[]
[],[],[63]
[16],"[32, 35, 39, 28, 29]",[63]
[],[],[]
"[16, 3, 4, 21]","[29, 31]",[63]
"[18, 3, 4]","[32, 31]",[]
[21],"[40, 35, 29, 39]",[63]
"[0, 3, 4, 11, 21, 26]","[40, 35, 29]",[63]
[21],[29],"[48, 74, 63]"
"[0, 12, 21]",[29],[63]
"[4, 21]","[29, 39]",[63]
[],"[32, 33, 39, 42, 28, 29]",[65]
"[0, 3, 6, 14, 16, 21]",[],"[90, 63]"
[21],"[29, 30]","[82, 90, 63]"
[],[39],[63]
[21],[],[]
[0],"[40, 29, 39]","[65, 90, 63]"
"[0, 2, 21]","[40, 29]","[64, 90, 63]"
[21],[32],"[90, 63]"
"[0, 4, 13, 20, 21]","[35, 31]",[63]
[4],[32],[67]
"[3, 8, 12, 13, 14, 16, 21]","[40, 35, 29]",[90]
[4],"[42, 29, 39]","[64, 90, 63]"
"[0, 8]","[40, 29, 30]",[]
"[3, 4, 6, 21, 23]","[28, 29, 31]","[65, 63]"
"[8, 0, 3, 21]","[40, 29, 31]",[]
[21],"[40, 29, 39]","[74, 63]"
[21],[31],[]
"[0, 3, 12]",[],[88]
"[0, 26, 3, 21]",[29],"[65, 63]"
[],[],[]
"[0, 16, 20, 21, 26]",[31],[63]
[],[39],[]
"[11, 13, 3, 21]","[32, 38, 39, 40, 28, 29]","[88, 90, 87, 63]"
"[0, 21]","[29, 39]","[90, 63]"
"[0, 2, 3, 12, 21, 26]","[42, 29, 39]","[82, 90, 63]"
"[0, 26, 21]","[31, 29, 39]",[63]
"[0, 3, 22]",[29],[90]
"[0, 21]","[40, 29, 31]",[63]
[],"[28, 29, 30]","[64, 90, 63]"
"[16, 4]",[],[]
[21],"[40, 30, 39]","[90, 63]"
"[4, 21]",[],[90]
"[3, 12, 13, 20, 21]","[32, 28, 29, 31]",[57]
"[11, 3, 4]","[28, 29]","[64, 90]"
"[21, 23]","[32, 33, 38, 39, 29]","[67, 63]"
"[0, 2, 12, 21]","[29, 39]",[63]
[],"[35, 29]",[63]
"[0, 21]","[32, 29]",[63]
[21],"[32, 40]",[63]
"[21, 6]",[40],"[81, 82, 83, 84, 85]"
[],"[40, 28, 39]",[63]
"[8, 4]","[32, 29, 30, 39]",[]
"[4, 21]","[28, 29, 38, 39]","[77, 63]"
"[8, 11, 26, 3]","[29, 31]","[88, 67, 90, 64]"
"[16, 3, 4, 21]","[32, 29, 31]",[63]
"[0, 21]","[32, 29, 39]","[68, 63]"
[21],[40],[63]
[21],"[40, 39]","[86, 63]"
[21],"[29, 39]",[63]
"[16, 21]","[29, 39]","[48, 63]"
"[0, 2, 26]","[29, 39]",[63]
[21],"[40, 29, 39]","[74, 90, 63]"
[],"[32, 29, 39]","[90, 63]"
"[4, 21]","[32, 38, 39, 40, 29]",[63]
"[0, 26, 3]","[39, 31]",[]
[21],[],[]
[0],"[40, 29]","[90, 63]"
[4],"[29, 30, 31]",[65]
"[3, 15, 16, 18, 20, 21, 26]","[29, 38, 39]","[88, 90, 63]"
[],[],[]
"[3, 21]",[31],"[62, 63]"
[21],[29],[]
[21],[],[]
"[4, 21, 23]","[29, 30]","[86, 63]"
[21],[],[]
"[3, 8, 12, 13, 14, 16, 21]","[40, 35, 29]",[90]
"[16, 0, 4, 21]","[35, 40, 42, 29, 31]","[68, 63]"
"[0, 3, 4, 13, 21, 26]","[35, 39, 28, 29, 30]","[65, 63]"
[],[31],[]
"[11, 0, 27, 4]","[29, 30, 39]",[65]
"[0, 18]",[],[]
"[0, 11]","[28, 29, 30]",[63]
"[16, 0, 26, 21]","[29, 30]","[88, 90, 63]"
"[4, 20, 21]","[35, 29, 30]",[63]
[],"[28, 29, 30]","[89, 86]"
"[4, 8, 11, 13, 21]","[35, 31, 29, 39]","[64, 65, 63]"
[21],[28],[63]
[21],[33],[63]
"[0, 26, 12, 21]","[32, 35, 39, 40, 42, 29, 31]","[65, 63]"
[21],[],[63]
[21],[29],[86]
"[0, 8, 11, 16, 21]","[35, 28, 29, 30, 31]","[65, 63]"
[21],"[32, 31, 29, 39]",[63]
"[16, 21]","[32, 33, 39, 40, 29]",[63]
[],[],"[68, 63]"
[],[40],"[86, 63]"
"[16, 21]","[29, 31]","[65, 63]"
[],"[32, 39]",[63]
"[3, 21]",[39],[63]
"[8, 21]","[28, 31, 39]",[]
[21],[],"[64, 90]"
[21],"[32, 33]",[67]
"[13, 21]",[32],"[57, 63]"
"[0, 3, 4, 12, 13, 26]",[],[]
[21],[28],[]
[],[],"[90, 67, 63]"
"[0, 21, 15]","[32, 35, 39, 28, 29, 30]","[90, 62, 63]"
"[0, 16, 10, 11]","[28, 39]",[64]
"[16, 3, 4]","[29, 31]",[]
"[0, 3, 21]","[29, 30]","[65, 67]"
"[18, 4]",[],[63]
[],[],[]
"[0, 4, 12]",[31],[]
"[11, 4]","[28, 30]",[77]
[],"[40, 28]",[63]
[21],[],[]
"[0, 18, 4, 21]","[30, 39]",[63]
[8],"[29, 30]","[90, 86]"
"[0, 21]","[35, 29]","[90, 63]"
[],[],[63]
"[0, 10, 21]","[32, 40, 29]",[90]
"[21, 23]",[29],[63]
"[4, 21, 23]","[32, 28, 29]",[63]
"[0, 11, 21]","[32, 28, 29, 30, 31]",[63]
"[16, 5, 11, 13]","[32, 28, 29]",[64]
"[3, 21]",[36],[]
[21],[],[86]
"[0, 4, 6, 8, 11, 16, 21]","[35, 39]",[63]
[16],[],[63]
[21],"[32, 29, 31]",[]
"[16, 11, 4, 13]","[29, 39]",[]
"[2, 21]",[29],"[90, 63]"
"[0, 8, 12, 21]","[32, 39]","[68, 63]"
"[0, 8, 21, 6]",[],[90]
"[3, 4]","[40, 29, 30]",[]
"[0, 8, 10, 12, 16]","[28, 29, 30, 31]",[82]
"[4, 21]","[28, 29]",[63]
"[0, 2, 4, 21, 26]","[32, 29]","[90, 63]"
"[8, 0, 21]",[],[44]
"[0, 3, 6, 20, 21]",[],"[90, 63]"
"[0, 26, 2, 21]","[32, 35, 28, 39]","[64, 67, 63]"
[21],"[40, 38, 39]",[]
"[21, 23]",[32],[63]
[11],"[32, 28, 29, 30]","[64, 63]"
[4],[],[63]
"[0, 13, 16, 21, 23]","[39, 40, 42, 29, 31]","[65, 82, 63]"
"[0, 21]","[40, 35, 29]",[90]
[21],"[28, 29, 30]","[64, 57]"
[21],"[32, 38, 30]","[81, 85, 86, 63]"
"[0, 8, 11, 16, 21, 23]","[40, 31]",[]
"[21, 23]","[28, 29]",[63]
[3],"[32, 39]","[90, 86, 63]"
"[0, 21]","[32, 40, 29, 39]",[63]
[4],"[40, 39]",[63]
[21],[32],[63]
"[16, 3, 4]","[29, 31]",[63]
"[3, 13, 16, 20, 21, 26]",[29],[63]
"[0, 3, 11, 16, 21]","[28, 29]",[63]
"[3, 21]",[40],[86]
"[0, 21, 14]",[],"[90, 63]"
"[0, 2, 3, 13, 16, 21]","[29, 38, 31]",[63]
[],[28],[]
[],[39],[]
"[0, 3, 19, 20, 21]","[32, 29, 39]",[63]
"[3, 2, 26, 21]",[29],[]
"[4, 10, 20, 21, 26]","[40, 28, 29]",[63]
"[16, 3, 4, 21]","[32, 29, 31]",[63]
[],[],[]
"[0, 3]",[],[]
[21],[29],[]
[],[39],[]
[21],"[32, 33, 29, 39]",[63]
[21],"[28, 39]",[]
[],[],[]
[21],"[32, 29, 39]",[63]
"[0, 2, 4, 21]","[40, 32, 35, 31]",[63]
"[0, 4, 11, 20, 23]",[31],[]
[10],"[33, 40, 42, 29, 30, 31]","[90, 63]"
[],"[29, 31]",[]
"[10, 13, 21, 14]","[29, 30, 31]",[]
[11],"[42, 35, 29, 39]",[63]
"[0, 3]","[29, 39]",[63]
"[11, 4, 21]","[28, 29, 30]",[64]
[21],[],[]
"[0, 8, 3, 21]",[],[]
"[16, 21]","[33, 29]","[65, 63]"
"[0, 8, 11, 20, 21]","[29, 30]","[64, 84]"
[21],[39],[63]
"[0, 2, 4, 11, 16, 20, 21]","[35, 28, 29, 30]",[]
"[16, 11]",[28],[]
[21],[],[63]
[],[],[]
"[8, 0, 12, 21]","[32, 29]",[90]
[],[],[]
"[26, 3]","[40, 28, 29]","[65, 89, 90, 63]"
[],[],[63]
[21],[29],[]
"[16, 11, 4, 20]","[40, 29, 30, 39]",[63]
"[0, 3, 21]","[29, 30, 31]",[67]
"[0, 3, 4, 13, 21]","[29, 30, 31]",[63]
[],[29],[]
[21],[],"[90, 83]"
[],[39],[]
"[12, 21, 23]","[32, 29]",[63]
"[3, 19, 20]","[32, 29, 39]",[]
[],"[32, 40, 39]",[63]
[],[39],[63]
"[0, 11, 21]","[29, 30]",[63]
[],"[32, 40, 28, 39]","[65, 63]"
"[13, 3, 21, 6]",[30],[63]
"[3, 21]",[39],[63]
"[4, 21]","[28, 29]","[67, 68, 63]"
"[2, 3, 21]","[40, 28, 39]",[65]
"[0, 2, 3, 6, 21, 26]",[],"[64, 90, 63]"
[21],[],[63]
"[11, 21]","[32, 29, 30]",[90]
"[16, 3, 21, 14]",[31],[]
[],[29],"[86, 63]"
[],"[40, 29]","[48, 63]"
[0],[29],"[90, 63]"
"[12, 4, 21]","[32, 39]",[63]
"[0, 26]",[29],[63]
"[13, 11, 21]","[35, 36, 28, 29, 31]","[65, 63]"
"[3, 8, 12, 13, 14, 16, 21]","[40, 35, 29]",[90]
"[0, 11, 12, 4]","[29, 31]",[]
[21],"[40, 29, 30, 39]","[81, 63]"
[],[],"[65, 63]"
"[8, 3, 4, 21]","[40, 39]",[63]
"[26, 3, 21]",[40],[63]
"[3, 21]","[32, 39]",[63]
[21],[],[63]
[21],"[29, 39]","[81, 90, 85, 63]"
"[0, 26, 4, 21]","[40, 29, 30, 39]",[63]
"[13, 21]","[32, 31, 29, 39]",[90]
[21],"[32, 40, 29, 39]",[63]
[],"[35, 28, 38]",[]
[21],[],[]
[21],[29],[]
[],[40],[63]
[],[39],[82]
"[16, 21, 23]","[32, 35, 38, 31]",[65]
"[8, 21]",[],[]
"[16, 21, 15]","[40, 28, 29, 31]","[64, 63]"
"[4, 21]","[32, 39, 40, 28, 29]",[63]
[21],"[32, 39, 40, 28, 29]",[63]
"[2, 6, 13, 21, 26]","[31, 29, 39]",[63]
"[16, 4]","[35, 29]","[64, 90, 63]"
[],[40],[67]
"[0, 11, 4, 21]","[32, 35, 39, 42, 28, 29, 30, 31]",[64]
"[0, 2, 3, 13, 16, 21]","[29, 38, 31]",[63]
[21],"[32, 29, 39]","[90, 63]"
"[0, 12, 21]","[29, 39]",[63]
[21],"[29, 31]",[86]
"[11, 4]","[32, 29, 30, 39]",[]
[21],[],"[90, 63]"
"[16, 26, 3, 12]","[28, 29]",[90]
"[13, 4, 21]","[28, 29, 30, 39]",[90]
"[8, 14, 15, 16, 18]",[29],[90]
"[16, 20, 21]","[29, 39]",[]
"[8, 0, 3, 21]",[28],[]
[21],"[32, 33, 39]","[64, 57, 63]"
[21],[40],[63]
"[16, 10, 21]","[39, 40, 28, 29, 30]","[90, 63]"
[21],[],[63]
"[4, 6, 10, 11, 14, 21, 23]","[35, 38, 28, 29, 31]","[90, 63]"
"[3, 21]",[],"[90, 63]"
"[10, 21]","[32, 31, 39]",[63]
"[16, 21]",[],[]
[],"[28, 39]",[63]
"[16, 4, 21]","[40, 29, 30]",[]
[],[],[]
"[0, 4, 16, 20, 21]","[35, 39, 40, 29, 30]",[63]
"[0, 8, 3, 21]","[32, 31]","[64, 86, 63]"
[],"[29, 31]",[63]
"[21, 23]","[29, 30]",[86]
"[0, 4, 12, 14, 21]","[32, 40, 29]",[63]
"[20, 6]","[35, 29]",[]
"[0, 12, 21]","[32, 38, 39, 28, 29]","[74, 63]"
"[13, 11, 21]","[33, 39, 29, 30, 31]","[65, 63]"
"[0, 10, 21]","[29, 39]",[63]
"[3, 21]",[],[]
"[0, 11, 20, 21]","[28, 29]","[90, 63]"
[21],"[35, 29]","[65, 63]"
[21],[29],[63]
[21],"[29, 39]",[63]
"[3, 4, 11, 12, 13, 21]","[39, 28, 29, 30, 31]",[63]
"[12, 4]","[28, 29, 30]",[63]
[],[],[]
"[4, 20, 21]","[40, 29]",[63]
[],[],[]
"[16, 0, 3]",[],[]
"[16, 13, 12, 21]","[40, 35, 29]",[90]
"[2, 26, 3, 6]","[28, 29, 30]",[63]
"[3, 21]","[32, 39]","[84, 63]"
"[3, 21]","[40, 29, 30, 39]",[67]
[],"[29, 30]",[68]
"[0, 3, 16, 21, 26]",[],[63]
[21],[],[63]
[21],[31],[63]
"[3, 4, 21]","[28, 29, 30]",[65]
[21],"[42, 28, 29]",[63]
"[18, 4, 23]",[39],[63]
"[16, 21, 23]",[32],[63]
[21],"[32, 29, 39]","[90, 63]"
[21],"[29, 31]","[90, 63]"
"[0, 26, 3, 21]",[],[]
[21],"[40, 39]","[65, 90, 63]"
"[3, 21]",[],[]
[21],[40],"[65, 63]"
"[3, 21]",[28],[]
[],"[42, 29, 30, 39]",[63]
[21],[],[63]
[],[],[63]
"[16, 0, 4]","[28, 29, 39]",[63]
"[0, 11, 20, 21]","[28, 29]",[63]
"[3, 12, 21]","[40, 28, 29]",[57]
[21],[39],[63]
[21],"[40, 32, 29, 39]",[63]
"[1, 3, 21]","[40, 38]","[81, 82, 83, 84, 85]"
"[0, 3, 4, 6, 18, 21]",[],[90]
"[3, 21]",[40],[63]
"[10, 21]","[33, 31, 29, 39]",[63]
"[0, 26, 4, 21]",[35],[]
[],[],[90]
"[4, 21]","[28, 29]",[90]
"[16, 11, 12, 21]","[32, 35, 38, 39, 29]","[65, 90, 63]"
"[11, 21]","[32, 42, 28, 29]",[64]
"[2, 21]",[29],[90]
[0],"[40, 29, 31]",[63]
"[10, 11, 12, 21]","[38, 42, 29, 30]","[81, 63]"
"[0, 18]","[40, 29, 30]",[90]
[21],"[28, 39]",[]
[21],"[40, 29, 30]",[90]
"[27, 0, 3]",[29],[63]
[4],"[32, 28]","[64, 90, 63]"
[16],"[40, 32, 29]",[63]
[21],[],[63]
[],"[35, 39]",[63]
"[0, 3]",[],[63]
"[4, 12, 14]","[42, 28, 29, 30]","[65, 63]"
[21],"[40, 30]",[65]
"[0, 2, 6, 10, 16, 21, 26]","[40, 28, 29, 30]","[90, 83, 63]"
[21],[40],[]
[21],[],[83]
[21],"[32, 40, 39]",[63]
[0],"[32, 35, 29]",[63]
[21],[35],"[90, 63]"
"[0, 26, 21]","[32, 29]","[90, 63]"
"[0, 3, 4, 12, 16, 21]","[32, 29, 38, 39]","[65, 90, 63]"
"[2, 3, 6]","[33, 39, 40, 29, 30, 31]",[63]
"[16, 21]","[32, 28, 39, 31]",[65]
"[2, 11, 15, 16, 21]","[39, 28, 29, 30, 31]","[90, 63]"
"[8, 0, 12, 21]","[42, 29, 39]",[63]
"[0, 12, 21]","[40, 29, 39]","[90, 86, 63]"
[21],"[32, 29]",[67]
[],[],[]
"[0, 3, 4, 16, 21]","[35, 29, 39]",[63]
[21],"[29, 30]",[63]
"[16, 4, 23]","[35, 29, 31]",[]
[],[],[]
"[3, 21]","[28, 29, 39]","[57, 67]"
[21],"[32, 33]","[90, 63]"
"[0, 2, 21]","[32, 39]","[90, 63]"
"[0, 4, 8, 12, 15, 20, 26]",[29],[]
"[10, 3, 4, 21]","[32, 40, 29, 30]",[]
"[10, 11, 4]","[32, 29, 30, 39]","[90, 63]"
"[4, 21]","[29, 30, 31]","[65, 63]"
[4],"[39, 29, 31]",[]
"[4, 21]","[32, 29]",[67]
"[0, 26, 3, 21]",[31],"[90, 63]"
[],[],[]
[21],[39],[63]
[21],"[40, 39]","[82, 84, 74, 63]"
[4],"[35, 29]",[89]
"[10, 2, 26, 21]","[40, 29, 39]","[68, 63]"
[21],"[32, 42, 29, 31]",[63]
[21],"[40, 39]",[63]
"[3, 8, 14, 16, 21]",[29],[63]
[21],"[31, 29, 30, 39]",[63]
"[8, 21, 14]","[40, 29]",[]
[],[],[65]
[21],"[28, 39]","[64, 63]"
"[26, 3, 21]",[40],"[90, 63]"
"[10, 21]","[39, 29, 31]","[65, 63, 57]"
[21],"[32, 34, 29, 39]",[90]
"[1, 4, 21]",[29],[]
"[3, 4, 20, 21, 26]",[28],[90]
[21],"[40, 29, 30]",[65]
"[0, 13, 3, 21]","[29, 30]",[63]
[],[],[]
"[16, 21]","[28, 29, 31]","[64, 65, 63]"
[21],[],[]
"[12, 13, 20, 21]","[28, 29, 39]",[]
[21],[28],[]
"[0, 16, 3, 8]",[29],[63]
"[3, 12, 21]",[],[]
[21],"[29, 39]",[63]
[4],"[32, 29, 39]",[63]
[12],[29],[]
"[0, 26, 21, 14]","[39, 40, 28, 30, 31]",[90]
[21],"[40, 39]",[63]
[21],"[40, 28, 39]",[63]
"[0, 20, 21]","[32, 28, 29, 30, 31]",[63]
"[4, 23]","[31, 39]",[]
"[13, 4, 21]",[29],[]
[],[29],[]
"[0, 4, 9, 12, 16, 18, 23]",[31],[65]
"[18, 21, 26, 13]",[28],"[65, 83, 63]"
[3],"[29, 30, 39]",[65]
[21],[29],[63]
"[0, 12, 20, 21]",[29],"[90, 86, 63]"
"[12, 21]","[40, 35, 28]","[57, 63]"
"[16, 21]","[32, 40, 29]",[63]
"[16, 21]","[32, 35, 39, 42, 29, 31]",[63]
"[16, 8, 3, 21]",[],[]
"[0, 3, 12, 16, 21]","[29, 39]","[90, 63]"
[21],"[40, 29]","[48, 63]"
[21],[32],"[64, 63]"
[11],[29],[]
[21],"[32, 35, 28, 29]",[63]
[21],"[32, 39, 40, 42, 29]",[63]
[21],"[29, 39, 31]","[57, 63]"
"[16, 21]","[32, 33, 30]","[90, 63]"
"[3, 4, 16, 20, 21]",[29],[]
"[20, 6]","[35, 29]",[]
"[0, 2, 3, 8, 21, 26]","[29, 39]",[63]
"[0, 8, 21]",[],[83]
"[21, 6]","[31, 29, 39]",[]
"[0, 11, 20, 21]","[28, 29]",[63]
"[0, 26, 4, 21]",[35],[]
[],[29],[]
"[0, 21]","[40, 29]","[57, 90, 63]"
[4],"[29, 30]",[]
"[1, 3, 8, 12, 21, 26]","[32, 33, 39, 40, 29]",[90]
"[3, 8, 12, 13, 14, 16, 21]","[40, 35, 29]",[90]
"[16, 4, 21, 14]","[29, 30]",[]
[21],"[29, 31]",[44]
[21],[],[83]
[],"[31, 39]",[]
"[0, 10, 11, 12, 20, 21, 26]","[38, 39, 40, 42, 29, 30, 31]","[65, 90, 63]"
"[3, 21]",[],"[90, 63]"
"[0, 3, 4, 11, 13, 20, 21]","[28, 29]",[]
"[8, 21]","[40, 29]",[63]
"[4, 12, 21]","[39, 42, 29, 30, 31]","[90, 68, 63]"
"[0, 10, 4]",[29],[]
"[2, 3, 8, 12, 13, 14, 16, 21]","[40, 35, 29]",[90]
"[27, 3, 21]","[35, 29]",[]
"[8, 21]",[],[63]
"[0, 20, 4]",[30],[63]
"[0, 21]","[29, 30]",[63]
"[16, 0, 3]",[32],"[64, 90, 67, 63]"
[16],[29],[63]
[],"[29, 30]",[]
"[16, 10, 11, 4]","[32, 28, 29, 30]","[64, 63]"
[],"[42, 35, 29, 31]",[]
"[0, 3, 21, 6]",[],[63]
[8],[39],"[82, 84]"
"[3, 4, 21]","[40, 29, 30]",[63]
"[3, 19, 20]","[32, 29, 39]",[]
"[0, 11]","[42, 35, 29, 31]",[]
[],[29],[]
"[26, 3, 21]","[32, 29]",[63]
[8],"[30, 39]",[64]
"[0, 3, 4, 21]","[29, 30]",[]
"[0, 26, 3, 12]",[],[63]
"[16, 21]",[],[90]
"[0, 3, 4, 8, 18, 21]","[32, 30]",[63]
"[4, 11, 13, 16, 20, 22]","[32, 28, 29]",[64]
"[11, 21]","[39, 40, 29, 30, 31]","[90, 63]"
"[2, 3, 4, 8, 12, 21]","[32, 29, 31]",[90]
"[0, 4, 6, 11, 16, 21]","[29, 39]","[64, 63]"
[21],[39],[63]
"[10, 4, 21]","[40, 29]",[63]
"[8, 4]",[],[73]
[16],"[32, 29]",[]
[21],"[40, 29, 39]",[63]
[21],"[28, 29]","[64, 90, 86]"
"[0, 21]",[39],"[82, 62, 63]"
"[10, 21]",[30],[63]
"[1, 4, 21]","[32, 29, 31]","[82, 67, 84, 63]"
"[16, 13]","[31, 30, 39]",[]
[21],[39],[63]
"[4, 21]","[32, 35, 29, 30]",[67]
"[4, 21]","[32, 39, 40, 28, 29]",[63]
"[2, 26, 4, 21]","[32, 29]",[90]
"[8, 20]","[28, 29]",[]
"[10, 21]",[35],"[57, 63]"
"[8, 26, 3, 12]",[],"[90, 63]"
"[0, 3, 4, 8, 13, 16, 18, 20, 21]","[28, 29, 39]",[63]
"[0, 26, 3, 21]","[29, 31]",[]
"[26, 21]","[32, 29]",[63]
"[8, 11, 21]",[28],"[64, 63]"
[0],"[32, 42, 30, 39]","[68, 63]"
"[12, 21]",[31],[63]
[21],[],"[88, 90, 68]"
[],[],[]
[21],"[32, 29, 30, 31]","[65, 63]"
"[3, 21]",[],[63]
"[11, 4, 21]",[29],[63]
"[0, 3, 11, 21, 26]","[34, 39, 42, 29, 30]",[63]
"[0, 11, 4]","[40, 29, 30]","[90, 63]"
"[16, 0]","[40, 29, 31]",[63]
[11],[35],[]
"[3, 21]","[42, 29, 39]",[90]
"[0, 18, 4]","[29, 31]",[90]
"[0, 26, 4, 21]",[35],"[65, 63]"
"[2, 21]","[32, 33, 40]",[63]
"[16, 0, 10]","[35, 29]",[63]
[21],"[29, 39]",[63]
"[3, 12, 21]",[40],"[64, 90, 63]"
[21],[],[63]
"[3, 21]","[29, 31]",[]
"[8, 21]",[29],[90]
"[0, 3, 8, 13, 16, 21]","[28, 29, 30]",[64]
"[4, 20, 21, 15]","[31, 39]","[84, 63]"
"[8, 12, 21]",[40],"[83, 63]"
"[0, 21]","[40, 32, 29, 30]",[]
"[0, 26, 3, 21]","[29, 30]","[90, 63]"
"[10, 21]","[32, 38, 29, 30, 31]",[]
"[16, 10, 3, 21]","[32, 40, 42, 28, 29, 31]","[65, 57, 63]"
"[0, 26, 3, 21]","[32, 29]","[90, 63]"
"[16, 8, 21, 6]","[32, 35, 28, 29, 30]","[64, 81]"
"[3, 21]",[31],[63]
[],[],[63]
"[0, 21]","[40, 29]",[]
"[8, 4, 21]",[29],[63]
"[13, 21]","[35, 39, 40, 28, 29]","[90, 63]"
"[8, 0, 21]",[],"[81, 63]"
[21],"[40, 32]",[63]
[21],[39],[63]
"[8, 21, 14]","[32, 28, 29, 39]","[81, 63]"
"[16, 0, 21, 23]","[33, 39, 28, 29, 30]",[63]
"[8, 3, 21]",[],[64]
"[0, 21]","[29, 39]","[90, 63]"
[3],"[40, 39]","[90, 86]"
[],[],[63]
"[8, 20, 21, 14]","[31, 39]",[]
"[0, 16, 21]","[32, 29, 38]","[90, 63]"
"[3, 2, 26, 21]","[40, 29]",[]
"[0, 10, 11, 12, 20, 21, 26]","[38, 39, 40, 42, 29, 30, 31]","[65, 90, 63]"
"[0, 3, 4, 8, 12, 13, 15, 16, 21]","[32, 29, 30, 31]",[65]
"[3, 21]","[40, 42, 29, 39]","[90, 63]"
[21],[],[]
"[0, 21]","[40, 29, 38]","[90, 63]"
"[26, 3, 21]","[32, 29, 30, 31]",[]
[],[],[]
"[0, 4, 10, 13, 16, 21]","[28, 29, 39]",[63]
"[11, 21, 23]","[32, 29, 30, 39]","[65, 63]"
"[0, 4, 12, 13, 16, 27]","[28, 29, 30, 31]",[]
[21],[],[63]
"[4, 21]","[32, 38, 39]",[63]
"[0, 21, 6]",[29],"[64, 63]"
"[13, 26, 3, 21]",[29],[63]
[],"[32, 29, 38]","[65, 63]"
[21],"[32, 35, 29, 39]",[]
"[0, 2, 3, 21]",[28],[90]
"[3, 21]","[29, 39]",[63]
[4],[],[]
"[21, 15]","[32, 39, 29, 31]",[63]
[],[40],[63]
"[0, 11, 12, 16, 21]","[38, 39, 40, 42, 29]","[81, 90, 68, 63]"
[21],"[40, 29, 30, 39]",[63]
"[0, 4, 11, 12, 16, 21, 22]","[39, 29, 30, 31]","[64, 63]"
"[0, 4]","[32, 35]","[64, 63]"
"[0, 3, 8, 12, 18]",[29],"[85, 86]"
"[13, 4, 21]",[],[]
"[16, 3, 4, 21]",[31],[]
"[0, 16, 21]",[28],"[81, 63]"
"[16, 0, 4, 13]",[29],[63]
"[16, 8, 4]","[28, 29]",[86]
"[0, 11, 13, 16, 21]",[29],"[90, 63]"
"[8, 21]","[29, 39]","[90, 86]"
[21],[40],[63]
"[0, 2, 4, 21, 26]","[32, 29]","[90, 63]"
"[4, 21]","[40, 29]",[63]
[4],[],[81]
[],"[40, 29, 30, 39]",[]
"[3, 21]",[],"[90, 63]"
[],[],[]
"[0, 21]",[],[]
"[21, 23]","[38, 39]","[48, 63]"
"[0, 21]",[28],"[81, 82, 83, 84, 85]"
[],[29],[]
"[11, 12, 13, 15, 16, 21]",[29],"[90, 63]"
"[0, 10, 4, 21]","[28, 29]",[]
"[0, 21]","[32, 40, 29, 30]",[90]
"[2, 21]","[40, 29]","[48, 63]"
"[10, 3, 4, 21]","[40, 28, 29]","[64, 90, 63]"
"[3, 21]",[],[63]
[],[39],[63]
[8],"[40, 35]",[63]
[],[],[]
[4],"[32, 28]",[63]
"[2, 27]","[31, 39]",[]
"[0, 4, 8, 16, 21, 23]","[35, 36, 29, 39]",[63]
[],[],"[64, 63]"
"[0, 3, 21]",[],"[90, 83, 63]"
[21],"[29, 39]",[63]
[21],"[35, 29, 30]",[67]
[21],"[40, 33, 39]",[63]
